id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
THAI013,THAI,2020-01-13 00:00:00,2020.0355191,13,-1150486.07865,6080853.90826,1537596.42806,47,685044.8287,1553154.1402,14.043005738871,100.713616593882,-7.2740,22.9839
THAI014,THAI,2020-01-14 00:00:00,2020.0382514,14,-1150486.07788,6080853.89937,1537596.42771,47,685044.8296,1553154.1421,14.043005755244,100.713616602131,-7.2827,22.9752
THAI015,THAI,2020-01-15 00:00:00,2020.0409836,15,-1150486.08084,6080853.89906,1537596.42971,47,685044.8326,1553154.1440,14.043005772234,100.713616629631,-7.2820,22.9759
THAI016,THAI,2020-01-16 00:00:00,2020.0437158,16,-1150486.07845,6080853.90187,1537596.42935,47,685044.8297,1553154.1430,14.043005763986,100.713616603056,-7.2798,22.9781
THAI017,THAI,2020-01-17 00:00:00,2020.0464481,17,-1150486.07745,6080853.90348,1537596.42922,47,685044.8284,1553154.1426,14.043005759807,100.713616591211,-7.2785,22.9794
THAI018,THAI,2020-01-18 00:00:00,2020.0491803,18,-1150486.07883,6080853.90209,1537596.42889,47,685044.8300,1553154.1425,14.043005759358,100.713616606128,-7.2797,22.9782
THAI019,THAI,2020-01-19 00:00:00,2020.0519126,19,-1150486.07816,6080853.90694,1537596.42996,47,685044.8285,1553154.1424,14.043005758539,100.713616591655,-7.2749,22.9830
THAI020,THAI,2020-01-20 00:00:00,2020.0546448,20,-1150486.07924,6080853.90025,1537596.42792,47,685044.8308,1553154.1420,14.043005754602,100.713616613029,-7.2816,22.9763
THAI021,THAI,2020-01-21 00:00:00,2020.0573770,21,-1150486.07741,6080853.90757,1537596.42932,47,685044.8276,1553154.1417,14.043005751861,100.713616583739,-7.2746,22.9833
THAI022,THAI,2020-01-22 00:00:00,2020.0601093,22,-1150486.07747,6080853.90319,1537596.42600,47,685044.8285,1553154.1395,14.043005732170,100.713616591878,-7.2796,22.9783
THAI023,THAI,2020-01-23 00:00:00,2020.0628415,23,-1150486.07974,6080853.90751,1537596.43205,47,685044.8299,1553154.1443,14.043005775056,100.713616605043,-7.2736,22.9843
THAI024,THAI,2020-01-24 00:00:00,2020.0655738,24,-1150486.08158,6080853.91288,1537596.43245,47,685044.8307,1553154.1433,14.043005766167,100.713616612551,-7.2680,22.9899
THAI025,THAI,2020-01-25 00:00:00,2020.0683060,25,-1150486.07915,6080853.90480,1537596.43469,47,685044.8298,1553154.1475,14.043005804233,100.713616604325,-7.2756,22.9823
THAI026,THAI,2020-01-26 00:00:00,2020.0710383,26,-1150486.08225,6080853.91415,1537596.43345,47,685044.8312,1553154.1439,14.043005771920,100.713616616502,-7.2664,22.9914
THAI027,THAI,2020-01-27 00:00:00,2020.0737705,27,-1150486.08276,6080853.91646,1537596.43759,47,685044.8312,1553154.1474,14.043005803095,100.713616617149,-7.2631,22.9947
THAI028,THAI,2020-01-28 00:00:00,2020.0765027,28,-1150486.08088,6080853.91260,1537596.43226,47,685044.8301,1553154.1432,14.043005765419,100.713616606671,-7.2685,22.9894
THAI029,THAI,2020-01-29 00:00:00,2020.0792350,29,-1150486.07846,6080853.90701,1537596.42922,47,685044.8288,1553154.1417,14.043005751767,100.713616594281,-7.2750,22.9829
THAI030,THAI,2020-01-30 00:00:00,2020.0819672,30,-1150486.08158,6080853.90960,1537596.43552,47,685044.8313,1553154.1470,14.043005800202,100.713616618224,-7.2704,22.9875
THAI031,THAI,2020-01-31 00:00:00,2020.0846995,31,-1150486.08271,6080853.91295,1537596.42984,47,685044.8319,1553154.1407,14.043005742712,100.713616622742,-7.2684,22.9895
THAI032,THAI,2020-02-01 00:00:00,2020.0874317,32,-1150486.07697,6080853.89640,1537596.42255,47,685044.8293,1553154.1378,14.043005716786,100.713616598963,-7.2870,22.9709
THAI033,THAI,2020-02-02 00:00:00,2020.0901639,33,-1150486.07995,6080853.90545,1537596.42787,47,685044.8305,1553154.1407,14.043005742698,100.713616610530,-7.2765,22.9814
THAI034,THAI,2020-02-03 00:00:00,2020.0928962,34,-1150486.07967,6080853.90676,1537596.42907,47,685044.8300,1553154.1415,14.043005750554,100.713616605688,-7.2750,22.9829
